id,categoria,nome,preco,unidade,ativo,descricao,imagem
suino-bisteca,Suíno,Bisteca,19,kg,SIM,,
suino-bife,Suíno,Bife,21,kg,SIM,,
suino-pernil,Suíno,Pernil,17,kg,SIM,,
suino-palheta,Suíno,Palheta,17,kg,SIM,,
suino-barriga,Suíno,Barriga,20,kg,SIM,,
suino-costela,Suíno,Costela,23,kg,SIM,,
bovino-bisteca,Bovino,Bisteca,32,kg,SIM,,
bovino-bife,Bovino,Bife,39,kg,SIM,,
carne-moida,Bovino,Carne Moída,34,kg,SIM,,
picadinho,Bovino,Picadinho,34,kg,SIM,,
coxao-mole,Bovino,Coxão Mole,45,kg,SIM,,
patinho,Bovino,Patinho,45,kg,SIM,,
kit-familia,Kits,Kit Família,130,kit,SIM,"1kg Picadinho + 1kg Carne Moída + 1kg Cozido Bovino + 1kg Pernil Suíno + 1kg Bisteca Suína",
kit-premium,Kits,Kit Premium,90,kit,SIM,"500g Strogonoff + 500g Bife do Patinho + 500g Bisteca Bovina + 500g Carne do Sol + 500g Bife Suíno",
kit-protein-70,Kits,Kit Protein 70,70,kit,SIM,"500g Carne Moída + 500g Picadinho + 500g Bisteca Suína + 500g Pernil + 500g Bife",
kit-pettica,Kits,Kit Pettica,90,kit,SIM,"500g Carne do Sol + 500g Fraldinha + 500g Contrafilé + 500g Picanha Suína + 500g Linguiça Premium",
kit-churrasquinho,Kits,Kit Churrasquinho,75,kit,SIM,"500g Fraldinha + 500g Alcatra + 500g Contrafilé + 500g Costela Suína",
